HEADER	code	level	name	市人口(万)	市辖区人口	市总收入(万元)	市辖区总收入	市人均收入(元)	市辖区人均收入
NORMAL	010000	NATION	中国	10905.03	6722.4	342939330	240340654	31447.81	35752.21
NORMAL	011100	PROVINCE	北京市	555.07	541.22	32271711	31826169	58139.89	58804.5
NORMAL	011200	PROVINCE	天津市	182.69	173.87	8234840	7867212	45075.48	45247.67
NORMAL	011300	PROVINCE	河北省	471.4	236.75	13673441	7694843	29006.03	32501.98
NORMAL	011301	CITY	石家庄市	80.68	50.52	2208199	1548247	27369.84	30646.22
NORMAL	011302	CITY	唐山市	74.46	48.75	2481815	1785555	33330.85	36626.77
NORMAL	011303	CITY	秦皇岛市	27.14	18.56	874679	667967	32228.41	35989.6
NORMAL	011304	CITY	邯郸市	51.97	27.33	1435300	895023	27617.86	32748.74
NORMAL	011305	CITY	邢台市	31.97	13.29	828181	417116	25904.94	31385.7
NORMAL	011306	CITY	保定市	59.46	21.63	1484579	607459	24967.69	28084.1
NORMAL	011307	CITY	张家口市	31.2	14.25	832444	442380	26680.9	31044.21
NORMAL	011308	CITY	承德市	25.28	10.51	675611	320320	26725.12	30477.64
NORMAL	011309	CITY	沧州市	39.98	11	1484579	294286	37133.04	26753.27
NORMAL	011310	CITY	廊坊市	28.33	12.41	891681	495378	31474.8	39917.65
NORMAL	011311	CITY	衡水市	20.93	8.5	476373	221112	22760.3	26013.18
NORMAL	011400	PROVINCE	山西省	366.53	197.59	10259763	6116311	27991.61	30954.56
NORMAL	011401	CITY	太原市	78.7	75.13	2608144	2524074	33140.33	33596.09
NORMAL	011402	CITY	大同市	41	34.1	1155053	988055	28172.02	28975.22
NORMAL	011403	CITY	阳泉市	21.8	17.45	757133	632777	34730.87	36262.29
NORMAL	011404	CITY	长治市	34.53	13.5	993612	324983	28775.33	24072.81
NORMAL	011405	CITY	晋城市	25.92	12.41	886389	526492	34197.11	42424.82
NORMAL	011406	CITY	朔州市	16.48	8.86	460318	285030	27931.92	32170.43
NORMAL	011407	CITY	晋中市	34	9.47	806025	197852	23706.62	20892.5
NORMAL	011408	CITY	运城市	31.89	6.91	641996	165667	20131.58	23974.96
NORMAL	011409	CITY	忻州市	22.7	6.5	456317	120100	20102.07	18476.92
NORMAL	011410	CITY	临汾市	32.51	9	787289	243575	24216.83	27063.89
NORMAL	011411	CITY	吕梁市	27	4.26	707487	107706	26203.22	25283.1
NORMAL	011500	PROVINCE	内蒙古自治区	199.87	104.68	6228806	3725903	31164.29	35593.26
NORMAL	011501	CITY	呼和浩特市	31.1	24.39	1057177	1039369	33992.83	42614.56
NORMAL	011502	CITY	包头市	32.3	27.84	1186242	1036552	36725.76	37232.47
NORMAL	011503	CITY	乌海市	10.37	10.37	369072	369072	35590.36	35590.36
NORMAL	011504	CITY	赤峰市	31.11	11.84	852777	398604	27411.67	33665.88
NORMAL	011505	CITY	通辽市	23.37	8.72	511295	185182	21878.27	21236.47
NORMAL	011506	CITY	鄂尔多斯市	15.35	4.84	687923	227398	44815.83	46983.06
NORMAL	011507	CITY	呼伦贝尔市	27.7	4.35	782460	135800	28247.65	31218.39
NORMAL	011508	CITY	巴彦淖尔市	14.75	6.61	381788	177436	25883.93	26843.57
NORMAL	011509	CITY	乌兰察布市	13.82	5.72	400072	156490	28948.78	27358.36
NORMAL	012100	PROVINCE	辽宁省	478.33	356.7	14913280	12251628	31177.81	34347.15
NORMAL	012101	CITY	沈阳市	98.66	92.34	3805993	3622865	38576.86	39233.97
